genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Bifidobacterium tibiigranuli,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,15,30,40,1552891,60.775016075396046,2555147,RS_GCF_022655035.1,2195555,85.92675881270236,SAMN22412191,USA: Madison; WI,anaerobic bioreactor effluent,43.033933 N 89.356452 W,TRUE,0,Bifidobacterium tibiigranuli,none,0,45,2113,19,45,95.65,0.74
Bifidobacterium tissieri,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,25,35,40,1754276,61.05087027304308,2873483,RS_GCF_002259645.1,2452171,85.33793309374025,SAMN06341151,Italy,feces from baby,none,TRUE,0,Bifidobacterium tissieri,2240,16,60,2268,19,60,99.34,1.14
Bifidobacterium tsurumiense,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,25,37,45,1143787,52.84550253696408,2164426,RS_GCF_000741765.1,1860518,85.95895632375512,SAMN02673458,none,Hamster dental plaque,none,TRUE,0,Bifidobacterium tsurumiense,1682,5,46,1751,19,46,99.92,0.17
Bifidobacterium vespertilionis,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,22,37,48,1974900,64.20983601440584,3075992,RS_GCF_008698145.1,2589455,84.1827612035402,SAMN10662177,Italy: Verona,fecal sample,none,TRUE,0,Bifidobacterium vespertilionis,none,11,57,2383,19,57,99.99,1.18
Biostraticola tofi,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Biostraticola,5,27.5,30,2310847,53.85516406403852,4290872,RS_GCF_004343195.1,3723706,86.78203404809092,SAMN10362890,none,none,none,TRUE,3,Biostraticola tofi,none,5,65,3928,18,66,99.99,0.17
Bizionia algoritergicola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bizionia,-2,10.5,25,1205908,34.09898848915818,3536492,RS_GCF_008086165.1,3201647,90.53171900289892,SAMN10790302,Antarctica: Vestfold Hills,Antarctic saline pond copepod,68 S 78 E,TRUE,1,Bizionia algoritergicola,none,3,36,3291,19,37,99.95,0.58
Bizionia arctica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bizionia,4,20,30,1281682,32.79466291797023,3908203,RS_GCF_014638915.1,3517629,90.0063021291371,SAMD00244960,none,none,none,TRUE,1,Bizionia arctica,none,7,38,3494,19,38,99.98,0.98
Bizionia argentinensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bizionia,2,23.5,28,1107387,33.76870695194047,3279329,RS_GCF_000224335.1,2902421,88.50655118775823,SAMN02469766,none,surface marine water in Antarctica,none,TRUE,1,Bizionia argentinensis JUB59,2993,3,35,3046,19,35,99.98,0.89
Bizionia paragorgiae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bizionia,4,24,36,1106859,35.26521256926897,3143625,RS_GCF_900107625.1,2808021,89.32429917690564,SAMN04487990,none,none,none,TRUE,1,Bizionia paragorgiae,2843,6,35,2866,18,35,99.9,0.3
Blastococcus atacamensis,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,10,35,45,2846166,73.09442318997202,3893821,RS_GCF_002938425.1,3505472,90.02653177945263,SAMN08335873,Chile,soil,none,TRUE,0,Blastococcus atacamensis,3787,6,48,3832,19,47,99.99,0.15
Blastococcus jejuensis,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,10,30,37,3427540,73.36275086450385,4672237,RS_GCF_039534705.1,4276493,91.52988172474984,SAMD00645440,none,none,none,TRUE,0,Blastococcus jejuensis,none,10,48,4495,19,47,99.99,1.06
Blastococcus litoris,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,4,32.5,45,3411520,73.65649738689913,4631862,RS_GCF_003075095.1,4246670,91.68386277484088,SAMN08954526,South Korea: Gopado,sea-tidal flat sediment,none,TRUE,0,Blastococcus litoris,none,8,48,4528,19,47,99.96,0.86
Blastococcus saxobsidens,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,20,32,37,3325350,73.51343297242221,4523459,RS_GCF_002938435.1,4085043,90.30794796636822,SAMN08335874,Malta,Calcarenite,none,TRUE,0,Blastococcus saxobsidens,4347,6,48,4395,19,47,100,0.38
Blastococcus xanthinilyticus,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,10,31.5,45,3425584,74.3592303905267,4606804,RS_GCF_008124835.1,4183835,90.81860222401474,SAMN12292099,none,none,none,TRUE,0,Blastococcus xanthinilyticus,none,5,48,4486,19,47,100,0
Blastomonas aquatica,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,5,25,30,2314130,62.34184742945921,3712001,RS_GCF_014639875.1,3325264,89.58144138430997,SAMD00244978,none,none,none,TRUE,1,Blastomonas aquatica,none,3,43,3451,19,43,100,0.09
Blastomonas fulva,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,8,30,37,2645682,64.16558943153514,4123210,RS_GCF_003431825.1,3727645,90.406382405941,SAMN06473103,South Korea: Daejeon,microcystis culture,none,TRUE,1,Blastomonas fulva,none,6,46,3852,19,46,100,0.32
Blastomonas marina,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,10,25,42,1711002,64.94014393087431,2634902,RS_GCF_014641655.1,2384461,90.49524422540192,SAMD00245037,none,none,none,TRUE,0,Blastomonas marina,none,4,44,2502,19,50,99.98,0
Blastopirellula cremea,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula,20,30,37,3397603,54.0338054501639,6287921,RS_GCF_003335505.1,5456885,86.78361258037434,SAMN09637541,Brazil: Sao Paulo,soil from Brazilian tropical mangrove,23.8964 S 46.2139 W,TRUE,0,Bremerella cremea,none,6,68,5179,19,67,96.91,0.24
Blautia glucerasea,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,25,37,45,1805738,43.62123256316756,4139585,RS_GCF_020537505.1,3591732,86.76550910296564,SAMN22165340,USA: New York,fecal sample,none,TRUE,1,Blautia glucerasea,none,6,58,3843,19,58,99.95,0.38
Blautia hominis,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,15,37,42,2720852,46.28132855900408,5878941,RS_GCF_002270465.1,5199929,88.45009670959446,SAMN07460455,South Korea,feces,none,TRUE,1,Blautia hominis,none,14,63,5034,19,63,100,3.09
Bombella apis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bombella,25,33.5,37,1220225,59.55573755209556,2048899,RS_GCF_018221685.1,1852193,90.39942915683008,SAMN18604348,South Korea,none,none,TRUE,1,Bombella apis,none,15,64,1814,19,64,100,0.39
Bombiscardovia coagulans,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bombiscardovia,5,37,42,824213,47.33276441495972,1741326,RS_GCF_002259585.1,1523900,87.51376824328126,SAMN06341154,Czech Republic,Digestive tract,none,TRUE,0,Bombiscardovia coagulans,1409,9,45,1456,19,46,99.5,0.1
Bosea minatitlanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,15,37,42,3233940,68.58615314465075,4715150,RS_GCF_025209975.1,4177256,88.59221869929907,SAMN30673184,Mexico: Veracruz,Anaerobic digester,none,TRUE,1,Bosea minatitlanensis,none,3,51,4535,19,51,100,1.44
Bosea thiooxidans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,20,31,37,3618117,67.38434822836857,5369373,RS_GCF_900168195.1,4765916,88.76112723031162,SAMN05660750,none,none,22.57 N 88.36 E,TRUE,1,Bosea thiooxidans,5050,3,47,5074,19,47,99.93,0.25
Bowmanella denitrificans,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bowmanella,10,32.5,40,2655175,50.34271554789647,5274997,RS_GCF_039522935.1,4760746,90.25116033241346,SAMD00644982,none,none,none,TRUE,1,Bowmanella denitrificans,none,3,48,4622,19,49,100,1.14
Bowmanella dokdonensis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bowmanella,4,33.5,40,2639293,54.317102575279186,4859530,RS_GCF_017254865.1,4362398,89.76995717692863,SAMN17981532,Japan,seawater,none,TRUE,1,Bowmanella dokdonensis,none,14,50,4665,19,51,100,2.27
Bowmanella pacifica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bowmanella,10,31,42,2268707,49.97014399383277,4540125,RS_GCF_014645355.1,4118362,90.7103218523719,SAMD00245151,none,none,none,TRUE,1,Bowmanella pacifica,none,3,46,4039,18,46,99.98,0.48
Brachybacterium aquaticum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,20,30,37,2484911,72.04027093910248,3449336,RS_GCF_014204755.1,3084570,89.4250371665735,SAMN14908467,none,none,none,TRUE,0,Brachybacterium aquaticum,none,9,50,3071,19,50,100,0.22
Brachybacterium endophyticum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,4,30,37,2523774,71.02526153511042,3553347,RS_GCF_003130585.1,3206980,90.25237332576864,SAMN09041774,China: Guizhou,surface-sterilized of plant,none,TRUE,0,Brachybacterium endophyticum,3122,4,51,3123,19,50,99.89,0.15
Brachybacterium fresconis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,5,25,40,3264302,70.51869652718909,4628988,RS_GCF_017876515.1,4116996,88.9394398948539,SAMN17673569,Austria,none,none,TRUE,0,Brachybacterium fresconis,none,9,52,4059,19,51,100,0.35
Brachybacterium ginsengisoli,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,4,25,34,2829244,71.56749137988386,3953253,RS_GCF_002407065.1,3587767,90.754803702166285,SAMN07303563,South Korea,soil of a ginseng field,none,TRUE,0,Brachybacterium ginsengisoli,3469,9,50,3463,19,50,100,0.1
Brachybacterium huguangmaarense,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,18,29,40,2358402,72.42319628499781,3256418,RS_GCF_025725725.1,2918292,89.61662784077474,SAMN31120177,South Korea: Incheon Sinseon Reservoir,none,none,TRUE,0,Brachybacterium huguangmaarense,none,6,52,2951,19,50,99.99,0.11
Brachybacterium muris,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,15,31,42,2542295,69.70550510885903,3647194,RS_GCF_016907455.1,3289579,90.19479084468772,SAMN17619924,none,none,none,TRUE,0,Brachybacterium muris,none,6,49,3308,19,49,99.97,0.37
Brachybacterium phenoliresistens,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,4,31.5,40,3115878,73.10341300259391,4262397,RS_GCF_039530785.1,3862780,90.62459456498304,SAMD00645256,none,none,none,TRUE,0,Brachybacterium phenoliresistens,none,3,53,3765,19,53,100,0.4
Brachybacterium sacelli,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,5,25,40,3421413,70.26778632463537,4869106,RS_GCF_017876545.1,4380594,89.96711100559322,SAMN17673127,Austria,none,none,TRUE,0,Brachybacterium sacelli,none,9,72,4412,19,72,100,1.74
Brachybacterium saurashtrense,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,10,30,45,2706834,72.75172107209339,3720646,RS_GCF_003355475.1,3357535,90.24064638237552,SAMN09737038,none,none,none,TRUE,0,Brachybacterium saurashtrense,none,9,50,3272,19,50,100,0.07
Brachybacterium squillarum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,25,29,37,2435339,73.089581247494,3331992,RS_GCF_025942045.1,3041698,91.28767416008202,SAMN31439987,India: Chennai,Seeds,none,FALSE,0,Brachybacterium squillarum,none,3,50,3001,18,48,99.94,0.15
Bradymonas sediminis,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,20,33,37,3084763,61.1366786221013,5045683,RS_GCF_003258315.1,4438248,87.96129285173087,SAMN09396997,China: Weihai,marine sediment,37.526667 N 122.016111 E,TRUE,0,Bradymonas sediminis,3751,15,54,3743,19,54,99.81,0.4
Bradyrhizobium arachidis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,20,28,30,5946864,63.0681138480256,9429272,RS_GCF_024758505.1,8017103,85.0235627946675,SAMN19945678,China: Meizhou City; Guangdong Province,soil,none,TRUE,1,Bradyrhizobium arachidis,none,3,76,8716,19,79,100,2.07
Bradyrhizobium centrosematis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,15,28,35,5119992,63.94608936579868,8006841,RS_GCF_024809475.1,6810196,85.05471758462545,SAMN13165533,none,none,none,FALSE,1,Bradyrhizobium centrosematis,none,3,48,7482,19,48,100,0.49
Bradyrhizobium cytisi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,14,28,30,5593370,63.16995048494666,8854489,RS_GCF_008123515.1,7536201,85.11164224157939,SAMN12600325,Morocco: Aoudal,nodule,35.13 N 5.33 W,TRUE,1,Bradyrhizobium cytisi,none,3,49,8451,19,51,100,0.64
Bradyrhizobium daqingense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,28,28,37,5096600,63.722753634151175,7998085,RS_GCF_021044685.1,6791799,84.91781470189427,SAMN23310456,China: Heilongjiang; Daqing,none,none,TRUE,1,Bradyrhizobium daqingense,none,3,49,7566,19,49,100,0
Bradyrhizobium erythrophlei,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,4,28,60,5583519,61.411096480480275,9092136,RS_GCF_900129425.1,7556196,83.1069398873928,SAMN05443248,USA: Harvard Forest; Massachusetts,none,42.5400 N 72.18 W,TRUE,1,Bradyrhizobium erythrophlei,8576,3,53,8806,19,54,100,0.94
Bradyrhizobium guangdongense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,15,28,28,4327492,64.11849683148102,6749210,RS_GCF_006483445.1,5944610,88.07860475522321,SAMN08366480,Japan: Okayama,root,none,TRUE,1,Bradyrhizobium guangdongense,none,3,67,6513,19,65,93.36,0
Bradyrhizobium huanghuaihaiense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,10,28,37,5897949,63.93848886395023,9226856,RS_GCF_007830635.1,7825062,84.80745770823778,SAMN02927902,none,none,none,TRUE,1,Bradyrhizobium huanghuaihaiense,none,3,52,8719,19,51,100,0.86
Bradyrhizobium jicamae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,5,28,32,5450086,63.764473429587696,8547214,RS_GCF_018130215.1,7314777,85.58083370791933,SAMN17707968,China: Shenzhen; Guangdong,soil,none,TRUE,1,Bradyrhizobium jicamae,none,3,48,8117,19,48,100,0.34
Bradyrhizobium lablabi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,10,28,37,4576913,63.20992363565754,7240814,RS_GCF_018129385.1,6335077,87.4912268151067,SAMN17707927,China: Shenzhen; Guangdong,soil,none,TRUE,1,Bradyrhizobium lablabi,none,3,50,6842,19,51,100,0.04
Bradyrhizobium lupini,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,4,28,37,4959523,63.369811960106915,7826318,RS_GCF_040939785.1,6579836,84.07320019452315,SAMN42574413,none,none,none,TRUE,1,Bradyrhizobium lupini,none,3,47,7721,19,48,96.81,0.67
Bradyrhizobium manausense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,15,29,32,4386319,63.8315406454084,6871711,RS_GCF_018131105.1,6070963,88.34718165534028,SAMN17708013,China: Shenzhen; Guangdong,soil,none,TRUE,1,Bradyrhizobium manausense,none,3,48,6414,19,48,100,0
Bradyrhizobium neotropicale,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,15,30,37,5518142,63.59848925780237,8679329,RS_GCF_001641695.1,7366894,84.87861215999531,SAMN04457964,Brazil,root nodule,none,TRUE,1,Bradyrhizobium neotropicale,8077,12,52,8158,19,54,100,0.05
Bradyrhizobium pachyrhizi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,5,28,37,5551158,63.76109211567318,8711973,RS_GCF_001189245.1,7331579,84.15520801086046,SAMN03782120,Costa Rica: Guanacaste,nodule,none,TRUE,1,Bradyrhizobium pachyrhizi,8080,3,52,8249,19,51,100,0.33
Bradyrhizobium retamae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,14,28,30,5237731,61.8661918387475,8466225,RS_GCF_001440415.1,7084501,83.67957383603672,SAMN02689496,Morocco: Ras el Ma,root nodules,none,TRUE,1,Bradyrhizobium retamae,8150,3,50,8344,19,50,100,2.36
Bradyrhizobium rifense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,14,28,30,6272253,63.0206111888622,9952932,RS_GCF_008123425.1,8548458,85.8888415996412,SAMN12600330,Morocco: Aoudal,nodule,35.13 N 5.33 W,TRUE,1,Bradyrhizobium rifense,none,3,51,9506,19,55,100,3.36
Bradyrhizobium valentinum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,14,28,30,5465158,61.92149827338622,8845258,RS_GCF_001440405.1,7307626,82.61631260501389,SAMN02688507,Spain: Monserrat; Valencia,root nodules,none,TRUE,1,Bradyrhizobium valentinum,8527,3,54,8748,19,55,99.99,0.87
Bradyrhizobium yuanmingense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,15,28,30,5230108,63.77027956654663,8201522,RS_GCF_900094575.1,6929131,84.4859161506852,SAMN04487810,none,none,none,TRUE,1,Bradyrhizobium yuanmingense,7778,3,50,7852,19,53,99.99,0.03
Breoghania corrubedonensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Cohaesibacteraceae,Breoghania,15,30,40,3392144,63.623508863867784,5331589,RS_GCF_003053845.1,4609353,86.45364449510268,SAMN08776944,Spain: Galicia; Corrubedo,none,none,TRUE,1,Breoghania corrubedonensis,4650,3,51,4689,19,51,100,0.39
Brevibacillus agri,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,5,28,40,2880708,53.596382240291675,5374818,RS_GCF_004117055.1,4561374,84.86564568325848,SAMN08222603,Germany,thermophilic environment,none,TRUE,2,Brevibacillus agri,none,38,131,5171,19,131,100,0.79
Brevibacillus antibioticus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,20,28,40,2907761,47.03793562196768,6181736,RS_GCF_005217615.1,5342411,86.42250332269123,SAMN11431369,South Korea: Sangju-si; Gyeongsangbuk-do,soil,none,TRUE,2,Brevibacillus antibioticus,none,44,126,5796,19,126,99.99,0.77
Brevibacillus aydinogluensis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,35,55,65,2326439,55.87427825663838,4163703,RS_GCF_031954365.1,3614903,86.8194249205575,SAMN35367906,none,none,none,TRUE,2,Brevibacillus aydinogluensis,none,11,84,4045,19,84,99.98,0.04
Brevibacillus borstelensis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,20,30,50,2737072,51.87950699653609,5275825,RS_GCF_003710865.1,4585669,86.91851985234537,SAMN10330923,USA,none,none,TRUE,2,Brevibacillus borstelensis,none,10,105,5192,19,105,99.92,0.25
Brevibacillus centrosporus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,10,28,40,2958432,49.98546949743384,5918584,RS_GCF_003710815.1,5223827,88.26143212633292,SAMN10330924,USA,none,none,TRUE,2,Brevibacillus centrosporus,none,10,121,5949,19,121,100,3.66
Brevibacillus fluminis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,20,30,45,3251350,50.36064157910006,6456133,RS_GCF_003710825.1,5698064,88.25815701132551,SAMN10330925,South Korea,sediment,none,TRUE,2,Brevibacillus fluminis,none,15,121,6142,19,121,99.83,6.57
Brevibacillus formosus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,10,30,45,2932215,47.4148588112647,6184213,RS_GCF_003013405.1,5500468,88.9437022948595,SAMN08719530,USA,soil,none,TRUE,2,Brevibacillus formosus,5701,6,112,5729,19,113,99.99,0.45
Brevibacillus fulvus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,20,42.5,55,1930454,49.770118706044045,3878741,RS_GCF_016908525.1,3443789,88.78625822141773,SAMN17620072,none,none,none,TRUE,2,Brevibacillus fulvus,none,7,84,3889,19,85,100,0.76
Brevibacillus gelatini,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,20,40,50,2411211,51.99300581684193,4637568,RS_GCF_003710935.1,4036780,87.04519265270072,SAMN10331140,Turkey,hot spring,none,TRUE,2,Brevibacillus gelatini,none,12,116,4504,19,117,99.98,0.86
Brevibacillus halotolerans,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,20,30,45,2131160,41.12776168299689,5181804,RS_GCF_026891595.1,4381791,84.56111037777578,SAMN31036178,Russia,obtained in laboratory by selection from a strain isolated from a natural source,none,FALSE,1,Brevibacillus halotolerans,none,36,108,4701,19,108,99.99,0.02
Brevibacillus laterosporus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,15,30,50,2140928,41.44277588053858,5165986,RS_GCF_030489605.1,4354512,84.29198220823672,SAMN36402072,India,rhizosphere soil,10.811 N 77.785 E,TRUE,1,Brevibacillus laterosporus,none,3,70,4724,19,70,99.98,0.13
Brevibacillus massiliensis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,30,37,45,2631103,53.12368571472991,5060362,RS_GCF_000311785.1,4355493,86.07077912607834,SAMEA2272187,France:Marseille,host stool sample,none,TRUE,2,Brevibacillus massiliensis,4967,0,81,5034,19,81,98.74,1.23
Brevibacillus nitrificans,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,16,38,44,2992760,50.008187763804735,5984540,RS_GCF_031457755.1,5272100,88.0953256223536,SAMN18245796,none,none,none,FALSE,2,Brevibacillus nitrificans,none,12,106,5906,19,107,100,2.81
Brevibacillus panacihumi,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,15,30,42,2608788,50.9911339754816,5116160,RS_GCF_003710985.1,4561210,89.1529975606705,SAMN10331151,South Korea,soil,none,TRUE,2,Brevibacillus panacihumi,none,11,114,5037,19,114,99.99,0.01
Brevibacillus reuszeri,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,10,30,45,3344061,46.916219738432815,7127729,RS_GCF_002897295.1,6231140,87.4211126713712,SAMD00090266,Japan:Saitama; Shiki; Maki-shokai,sodium hypochlorite,35.51 N 139.34 E,TRUE,2,Brevibacillus reuszeri,7041,67,119,7243,19,120,100,5.08
Brevibacillus thermoruber,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,34,46.5,58,2677994,57.95544086594885,4620781,RS_GCF_027919915.1,3984260,86.2248178392354,SAMN32250700,Mexico: Los Humeros Geothermal field (CFE) Trans-Mexican Volcanic Belt Puebla - Veracruz,geothermal field,19.65 N 97.44 W,FALSE,2,Brevibacillus thermoruber,none,18,90,4464,19,108,99.59,0.46
Brevibacterium album,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,28,37,45,2903443,70.9535057853841,4094970,RS_GCF_000426445.1,3699991,90.35453251183768,SAMN02440844,China,none,none,TRUE,0,Brevibacterium album DSM 18261,3532,9,58,3557,19,59,99.82,0.32
Brevibacterium iodinum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,20,27.5,37,2327525,64.3898138206859,3614741,RS_GCF_900445875.1,3194941,88.38644317808662,SAMEA104016181,none,none,none,FALSE,0,Brevibacterium iodinum,none,12,47,3272,19,48,99.96,0.61
Brevibacterium jeotgali,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,10,30,37,2253329,68.33017608902185,3297707,RS_GCF_900169175.1,2985843,90.543004578636,SAMEA103891067,none,none,none,TRUE,0,Brevibacterium jeotgali,2898,5,46,2917,19,46,99.18,0.13
Brevibacterium marinum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,10,30,30,2718964,64.41468920744718,4221031,RS_GCF_011927955.1,3785685,89.68626385354668,SAMN05878274,South Korea: Hwasun beach; Jeju,none,33.51 N 126.52 E,TRUE,0,Brevibacterium marinum,none,12,48,3762,19,49,99.97,0.41
Brevibacterium oceani,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,10,27,35,2932290,65.4357833174,4481272,RS_GCF_013623835.1,4018447,89.67201723082196,SAMN14820475,Indian Ocean:Chagos Trench,deep-sea sediment sample,none,TRUE,0,Brevibacterium oceani,none,5,67,4021,19,68,99.99,0.19
Brevibacterium picturae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,15,25,37,2880834,63.566056020787144,4533165,RS_GCF_039528695.1,4073782,89.8661751778283,SAMD00645180,none,none,none,TRUE,0,Brevibacterium picturae,none,4,49,4142,19,50,100,0.69
Brevibacterium ravenspurgense,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,25,33.5,45,1433181,62.38281846803143,2297397,RS_GCF_001584615.1,2070688,90.13191886295664,SAMN04317114,Germany: Ravensburg,wound,none,TRUE,0,Brevibacterium ravenspurgense,2011,8,43,2032,19,43,99.99,0.07
